Animal name,Sessions,Tetrode,Cell
Flekken (14147),medbox 1 ,2,1,
Flekken (14147),medbox 1 ,2,3,
Flekken (14147),medbox 1 ,2,4,
Flekken (14147),medbox 1 ,4,1,
Flekken (14147),medbox 1 ,6,1,
Flekken (14147),medbox 1 ,9,4,
Flekken (14147),medbox 1 ,9,5,
Flekken (14147),medbox 1 ,2,7,
Flekken (14147),medbox 1 ,3,6,
Flekken (14147),medbox 1 ,7,1,
Flekken (14147),medbox 1 ,12,1,
Flekken (14147),medbox 1 ,2,1,
Flekken (14147),medbox 1 ,4,1,
Flekken (14147),medbox 1 ,8,1,
Flekken (14147),medbox 1 ,12,1,
Flekken (14147),medbox 1 ,12,3,
Flekken (14147),medbox 1 ,2,2,
Flekken (14147),medbox 1 ,4,3,
Flekken (14147),medbox 1 ,9,13,
Flekken (14147),medbox 1 ,2,2,
Flekken (14147),medbox 1 ,3,1,
Flekken (14147),medbox 1 ,3,4,
Flekken (14147),medbox 1 ,3,9,
Flekken (14147),medbox 1 ,4,3,
Flekken (14147),medbox 1 ,6,3,
Flekken (14147),medbox 1 ,8,3,
Flekken (14147),medbox 1 ,8,4,
Flekken (14147),2010-2-22_18-36-29 ,2,1,
Flekken (14147),2010-2-22_18-36-29 ,2,2,
Flekken (14147),2010-2-22_18-36-29 ,2,5,
Flekken (14147),2010-2-22_18-36-29 ,3,1,
Flekken (14147),2010-2-22_18-36-29 ,3,4,
Flekken (14147),2010-2-22_18-36-29 ,3,10,
Flekken (14147),2010-2-22_18-36-29 ,4,1,
Flekken (14147),2010-2-22_18-36-29 ,4,2,
Flekken (14147),2010-2-22_18-36-29 ,7,6,
Flekken (14147),2010-2-22_18-36-29 ,8,5,
Flekken (14147),2010-2-22_18-36-29 ,9,12,
Flekken (14147),2010-2-22_18-36-29 ,12,1,
Flekken (14147),medbox 1 ,3,6,
Flekken (14147),medbox 1 ,7,2,
Flekken (14147),medbox 1 ,8,2,
Flekken (14147),medbox 1 ,2,1,
Flekken (14147),medbox 1 ,2,8,
Flekken (14147),medbox 1 ,3,6,
Flekken (14147),medbox 1 ,3,7,
Flekken (14147),medbox 1 ,4,4,
Flekken (14147),medbox 1 ,6,1,
Flekken (14147),2010-2-26_19-3-2 ,4,1,
Flekken (14147),medbox 1 ,2,4,
Flekken (14147),medbox 1 ,3,2,
Flekken (14147),medbox 1 ,3,7,
Flekken (14147),medbox 1 ,4,2,
Flekken (14147),medbox 1 ,4,3,
Flekken (14147),medbox 1 ,7,2,
Flekken (14147),medbox 1 ,9,4,
